filename,duration,sr,n_channels,loudness_lufs,loudness_rms_db,rms,bpm,n_beats,meter,genre,genre_confidence,danceability,danceability_confidence,voice_instrumental,mood_happy,mood_sad,mood_aggressive,mood_relaxed,pitch_median_hz,key,scale,key_strength,fluctuation,spectral_irregularity,session,n_onsets,syncopation_score
01_the_goo_goo_dolls_iris.mp3,289.78,44100,2,-8.16,-11.36,0.218978,150,662,4,Rock---Alternative Rock,0.301,not_danceable,0.68,voice,0.327,0.417,0.177,0.492,198.1,D,major,0.91,8364.7888,0.4087,session_log_02-23_15h-51m,,
02_hozier_take_me_to_church.mp3,240.3,44100,2,-7.72,-10.23,0.278502,125,373,4,Rock---Alternative Rock,0.184,not_danceable,0.79,voice,0.114,0.186,0.03,0.869,199.7,E,minor,0.885,9277.6264,0.4202,session_log_02-23_15h-51m,,
03_coldplay_adventure_of_a_lifetime.mp3,264.64,44100,2,-7.5,-9.27,0.314817,111,502,4,Funk / Soul---Neo Soul,0.123,danceable,0.973,voice,0.636,0.265,0.015,0.681,260.7,A,minor,0.88,8448.3427,0.4317,session_log_02-23_15h-51m,,
04_mgmt_time_to_pretend.mp3,2.2,44100,2,-15.63,-17.2,0.080392,158,6,4,Electronic---Experimental,0.281,danceable,0.784,instrumental,0.034,0.329,0.341,0.872,144.6,D,minor,0.353,1276.6934,0.2501,session_log_02-23_15h-51m,,
05_harry_styles_as_it_was.mp3,2.2,44100,2,-23.84,-29.81,0.024794,0,1,4,Children's---Story,0.184,not_danceable,0.762,voice,0.139,0.377,0.154,0.63,411.0,Bb,minor,0.663,1987.4904,0.2981,session_log_02-23_15h-51m,,
06_coldplay_yellow.mp3,272.21,44100,2,-8.4,-11.44,0.236592,86,386,4,Rock---Indie Rock,0.532,not_danceable,0.875,voice,0.439,0.426,0.187,0.405,249.7,B,major,0.947,7009.8963,0.4478,session_log_02-23_15h-51m,,
07_harry_styles_watermelon_sugar.mp3,173.04,44100,2,-7.28,-10.13,0.269982,97,276,4,Rock---Alternative Rock,0.122,danceable,0.714,voice,0.627,0.472,0.014,0.703,285.7,C,major,0.84,7359.0135,0.423,session_log_02-23_15h-51m,,
08_muse_madness.mp3,4.39,44100,2,-17.03,-17.17,0.115545,92,7,3,Electronic---Ambient,0.121,danceable,0.955,instrumental,0.076,0.293,0.116,0.845,58.4,Bb,major,0.882,2005.9839,0.4168,session_log_02-23_15h-51m,,
09_the_chainsmokers_something_just_like_this.mp3,247.13,44100,2,-8.43,-10.75,0.224846,103,416,4,Electronic---Synth-pop,0.111,danceable,0.718,voice,0.284,0.427,0.069,0.621,185.8,D,major,0.959,7860.3699,0.4535,session_log_02-23_15h-51m,,
10_maroon_5_this_love.mp3,205.26,44100,2,-7.29,-10.14,0.266962,94,322,4,Pop---Vocal,0.208,danceable,0.792,voice,0.785,0.34,0.011,0.492,288.8,C,minor,0.839,7558.9357,0.4065,session_log_02-23_15h-51m,,
11_empire_of_the_sun_walking_on_a_dream.mp3,28.92,44100,2,-13.96,-16.13,0.106818,125,62,4,Electronic---Ambient,0.138,danceable,0.965,voice,0.531,0.18,0.078,0.355,267.2,Eb,major,0.764,4122.8888,0.4796,session_log_02-23_15h-51m,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_empire_of_the_sun_walking_on_a_dream.mp3,164.53,44100,2,-11.77,-14.24,0.159922,125,348,4,Electronic---Disco,0.331,danceable,0.895,voice,0.846,0.139,0.041,0.188,265.8,F,minor,0.897,7544.6542,0.4308,session_log_02-24_09h-30m,,
02_miley_cyrus_flowers.mp3,201.55,44100,2,-7.38,-9.68,0.291008,120,378,4,Electronic---House,0.264,danceable,0.913,voice,0.561,0.24,0.023,0.59,221.3,A,minor,0.843,9275.1656,0.423,session_log_02-24_09h-30m,,
03_m83_outro.mp3,61.21,44100,2,-27.51,-29.97,0.024333,55,39,2,Stage & Screen---Soundtrack,0.58,not_danceable,0.974,instrumental,0.031,0.135,0.008,0.981,147.8,D,major,0.946,2386.3168,0.4864,session_log_02-24_09h-30m,,
04_coldplay_my_universe.mp3,228.35,44100,2,-8.12,-10.23,0.25907,103,401,4,Electronic---Synth-pop,0.181,danceable,0.919,voice,0.316,0.212,0.07,0.697,241.2,E,major,0.894,8283.8014,0.4151,session_log_02-24_09h-30m,,
05_sombr_back_to_friends.mp3,107.26,44100,2,-5.91,-8.23,0.345198,94,166,4,Rock---Indie Rock,0.401,danceable,0.841,voice,0.694,0.211,0.189,0.346,272.8,C#,major,0.916,5016.5586,0.4079,session_log_02-24_09h-30m,,
06_oasis_live_forever_remastered.mp3,4.44,44100,2,-12.73,-16.19,0.107763,91,8,2,Rock---Heavy Metal,0.094,danceable,0.546,instrumental,0.057,0.168,0.894,0.268,124.9,E,minor,0.806,1847.5558,0.3648,session_log_02-24_09h-30m,,
